"index"	"video"	"video_type"	"question"	"answer"	"dimensions"	"video_path"
"0"	"wZxzBvAgqxc"	"Sports"	"What is the name of the player who scored the first goal in the video?"	"Palmer."	"['OCR', 'Attribute Recognition']"	"./video/wZxzBvAgqxc.mp4"
"1"	"wZxzBvAgqxc"	"Sports"	"How many goals were scored in total in the video? (Replays of the same ball do not count)"	"3"	"['Event Recognition', 'Counting']"	"./video/wZxzBvAgqxc.mp4"
"2"	"wZxzBvAgqxc"	"Sports"	"Were there any own goals in the game?"	"Yes. The second goal in the video was originally shot by a Red team player, but the Blue team defenseman knocked the ball into his own goal."	"['Counterfactual Reasoning']"	"./video/wZxzBvAgqxc.mp4"
"3"	"wZxzBvAgqxc"	"Sports"	"Summarize the video."	"This video is a key moments replay of a football game. The team in red jerseys scored two goals, and the team in blue jerseys scored one goal."	"['Video Topic']"	"./video/wZxzBvAgqxc.mp4"
"4"	"lKNB3ZeTYiI_processed"	"Science"	"Which browser plugin does the blogger recommend?"	"Paypal honey"	"['OCR']"	"./video/lKNB3ZeTYiI_processed.mp4"
"5"	"lKNB3ZeTYiI_processed"	"Science"	"What was the blogger wearing on his head during the process?"	"sound-proofing earmuffs"	"['Attribute Recognition']"	"./video/lKNB3ZeTYiI_processed.mp4"
"6"	"lKNB3ZeTYiI_processed"	"Science"	"What's that web plugin for?"	"It helps you save money when shopping online!"	"['Function Reasoning']"	"./video/lKNB3ZeTYiI_processed.mp4"
"7"	"4jOk3ajqJ2s_processed"	"Games"	"What is the author of the video trying to do in the video?"	"He was improving some item recipes in the game Minecraft."	"['Video Topic']"	"./video/4jOk3ajqJ2s_processed.mp4"
"8"	"4jOk3ajqJ2s_processed"	"Games"	"Why did the author want to improve these recipes?"	"Because the output of the original recipe is really annoying."	"['Video Topic']"	"./video/4jOk3ajqJ2s_processed.mp4"
"9"	"4jOk3ajqJ2s_processed"	"Games"	"How many stone buttons can be made using 5 stone blocks in the improved recipe?"	"In the improved recipe, each stone block yields 72 stone buttons, therefore, 5 stone blocks yield 360. (5 x 72 = 360)"	"['Mathematical Calculation']"	"./video/4jOk3ajqJ2s_processed.mp4"
"10"	"4jOk3ajqJ2s_processed"	"Games"	"What is the author's real name?"	"There is no way to know based on the video content."	"['Hallucination']"	"./video/4jOk3ajqJ2s_processed.mp4"
"11"	"rtfS6PQEot0"	"Games"	"How many pack-mates can Naafiri lead at most?"	"7"	"['Mathematical Calculation']"	"./video/rtfS6PQEot0.mp4"
"12"	"rtfS6PQEot0"	"Games"	"What is Naafiri's passive called?"	"It's called ""We Are More""."	"['Object Recognition']"	"./video/rtfS6PQEot0.mp4"
"13"	"rtfS6PQEot0"	"Games"	"Why you should be cautious when using W?"	"Because other champions can block the impact of her charge."	"['Causal Reasoning']"	"./video/rtfS6PQEot0.mp4"
"14"	"rtfS6PQEot0"	"Games"	"Where is Naafiri from?"	"Shurima"	"['Attribute Recognition']"	"./video/rtfS6PQEot0.mp4"
"15"	"qsqGAaEV3lw"	"Games"	"What is the first change regarding the surrender vote?"	"The name of the person that started the vote is no longer revealed."	"['OCR']"	"./video/qsqGAaEV3lw.mp4"
